week,owner_team_name,owner,score,win,opp_owner_team_name,opp_owner,opp_score
1,Sticky Icky,T-$,82.8,0,Happy Rock Homewreckers,Blainer,126.7
1,Happy Rock Homewreckers,Blainer,126.7,1,Sticky Icky,T-$,82.8
1,Bench Don't Kill My Vibe,Padge,122.2,1,Bud Lathrop Drive,Farmer,101.1
1,Bud Lathrop Drive,Farmer,101.1,0,Bench Don't Kill My Vibe,Padge,122.2
1,Springfield Atoms,Duvi,119.8,0,Pixel Whippers,Sembower,202.9
1,Pixel Whippers,Sembower,202.9,1,Springfield Atoms,Duvi,119.8
1,Seattle rainier riot,Boob,180.3,1,Beacon Hill Posterizers,Bup,127.6
1,Beacon Hill Posterizers,Bup,127.6,0,Seattle rainier riot,Boob,180.3
1,Brookside Shokunin,Cheese,163.7,1,CoMo FightinCamlToes,Doisy,129.9
1,CoMo FightinCamlToes,Doisy,129.9,0,Brookside Shokunin,Cheese,163.7
2,Springfield Atoms,Duvi,160.5,1,Bench Don't Kill My Vibe,Padge,114.9
2,Bench Don't Kill My Vibe,Padge,114.9,0,Springfield Atoms,Duvi,160.5
2,Happy Rock Homewreckers,Blainer,131.8,0,Seattle rainier riot,Boob,135.8
2,Seattle rainier riot,Boob,135.8,1,Happy Rock Homewreckers,Blainer,131.8
2,Sticky Icky,T-$,124.0,0,Brookside Shokunin,Cheese,168.5
2,Brookside Shokunin,Cheese,168.5,1,Sticky Icky,T-$,124.0
2,Bud Lathrop Drive,Farmer,130.6,1,Beacon Hill Posterizers,Bup,108.7
2,Beacon Hill Posterizers,Bup,108.7,0,Bud Lathrop Drive,Farmer,130.6
2,Pixel Whippers,Sembower,142.2,1,CoMo FightinCamlToes,Doisy,97.2
2,CoMo FightinCamlToes,Doisy,97.2,0,Pixel Whippers,Sembower,142.2
3,Brookside Shokunin,Cheese,163.8,1,Seattle rainier riot,Boob,158.9
3,Seattle rainier riot,Boob,158.9,0,Brookside Shokunin,Cheese,163.8
3,Beacon Hill Posterizers,Bup,146.2,1,Bench Don't Kill My Vibe,Padge,84.0
3,Bench Don't Kill My Vibe,Padge,84.0,0,Beacon Hill Posterizers,Bup,146.2
3,CoMo FightinCamlToes,Doisy,100.4,1,Springfield Atoms,Duvi,86.1
3,Springfield Atoms,Duvi,86.1,0,CoMo FightinCamlToes,Doisy,100.4
3,Bud Lathrop Drive,Farmer,88.5,0,Happy Rock Homewreckers,Blainer,127.6
3,Happy Rock Homewreckers,Blainer,127.6,1,Bud Lathrop Drive,Farmer,88.5
3,Pixel Whippers,Sembower,114.0,0,Sticky Icky,T-$,138.6
3,Sticky Icky,T-$,138.6,1,Pixel Whippers,Sembower,114.0
4,CoMo FightinCamlToes,Doisy,114.7,0,Beacon Hill Posterizers,Bup,149.4
4,Beacon Hill Posterizers,Bup,149.4,1,CoMo FightinCamlToes,Doisy,114.7
4,Seattle rainier riot,Boob,156.0,0,Bud Lathrop Drive,Farmer,207.2
4,Bud Lathrop Drive,Farmer,207.2,1,Seattle rainier riot,Boob,156.0
4,Brookside Shokunin,Cheese,169.4,1,Pixel Whippers,Sembower,135.2
4,Pixel Whippers,Sembower,135.2,0,Brookside Shokunin,Cheese,169.4
4,Bench Don't Kill My Vibe,Padge,110.3,0,Happy Rock Homewreckers,Blainer,130.4
4,Happy Rock Homewreckers,Blainer,130.4,1,Bench Don't Kill My Vibe,Padge,110.3
4,Springfield Atoms,Duvi,156.4,1,Sticky Icky,T-$,130.8
4,Sticky Icky,T-$,130.8,0,Springfield Atoms,Duvi,156.4
5,Pixel Whippers,Sembower,177.4,1,Bud Lathrop Drive,Farmer,113.5
